SE folder,Model,Train sample size,Error distance (50%) mm,Error distance (90%) mm,Error distance (95%) mm,Error distance (99%) mm,Error distance (avg) mm,Error std mm,oks mAP,Dataset
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0020.rep=2\models\230420_120859.multi_instance.n=115,20,1.2075980388780236,7.8290295976525135,17.741759269525524,45.114457119779324,3.816037558110281,8.012211876385468,0.005980113011550778,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0050.rep=0\models\230420_125023.multi_instance.n=145,50,0.9161335348923839,9.204670034251846,20.77951800130385,48.26658717583802,3.7409603565740595,8.760479489051846,0.02150239332348435,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0050.rep=1\models\230420_131249.multi_instance.n=145,50,1.147210582163202,13.174063194295996,29.653654464529946,50.23839373515515,4.881960308692645,10.151080381947306,0.009019283003783133,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0050.rep=2\models\230420_143903.multi_instance.n=145,50,1.4080944990242945,12.76049752822624,26.020871908694158,48.63261516167728,4.928446519032542,9.327688604376117,0.009204397215465962,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0100.rep=0\models\230420_180624.multi_instance.n=195,100,0.8936768524504128,6.887477872865853,13.593640383853138,41.94102836646653,3.070002580725004,7.26198648570865,0.027918603651074472,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0100.rep=1\models\230421_100621.multi_instance.n=195,100,0.8666558101726626,8.239345018952276,23.973186138244092,49.87986435751384,3.898075427461116,9.447709106086526,0.025977073794108758,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0100.rep=2\models\230421_143526.multi_instance.n=195,100,0.8384751083955506,6.849670091809598,15.754054728933967,48.878019584546294,3.394937626744169,8.6327902510365,0.024544957057214534,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0200.rep=0\models\230421_151130.multi_instance.n=295,200,0.7367904427170439,3.677871645120426,7.6258697626613206,30.60026886954372,2.0602968641880897,5.500891625037435,0.04113767173694277,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0200.rep=1\models\230421_153235.multi_instance.n=295,200,0.794481680655509,10.055209590671936,27.445021847005613,50.92633524607735,4.211218140037307,10.102716051968509,0.03506601856077211,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0200.rep=2\models\230421_160636.multi_instance.n=295,200,0.7315499819709846,4.407604852606433,10.745932882403098,40.597557287495206,2.6437748428576398,6.792930919573771,0.048196133732546886,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0400.rep=0\models\230421_171110.multi_instance.n=495,400,0.7412686199102979,6.277520280830044,14.790728249312043,46.14807813814583,3.061537829436215,7.981023639494755,0.03967159680445138,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0400.rep=1\models\230424_181005.multi_instance.n=495,400,0.6126088521129519,3.573687203656157,9.476937080224213,35.65816376004304,2.159383993917585,5.9500266952804415,0.06455893064051928,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0400.rep=2\models\230425_120757.multi_instance.n=495,400,0.7317853248994242,9.608319645477991,21.537251485616462,50.38765481930447,3.6705781650417255,9.097748121623837,0.05486686000693813,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0600.rep=0\models\230425_160904.multi_instance.n=695,600,0.6271380954690092,4.053095864712266,9.840104107814515,35.371675680480955,2.2612718192691,6.0696345383961,0.07230316355059858,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0600.rep=1\models\230425_164832.multi_instance.n=695,600,0.612743952449055,4.172452433786368,9.4422517925129,40.32467196774465,2.400864438964281,6.748176216706201,0.06556877603957766,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0600.rep=2\models\230425_184758.multi_instance.n=695,600,0.6048355832405827,3.34728051145233,8.602739134006136,35.75801296462005,2.158290625437638,6.058760941273654,0.07166022336793174,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0700.rep=0\models\230426_110846.multi_instance.n=795,700,0.5467304389856269,6.1322348220932446,19.979408933003924,48.35958654350054,3.2111598092819564,8.653009000837677,0.07376145736550184,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0700.rep=1\models\230426_143855.multi_instance.n=795,700,0.6721102437433797,5.01132700851904,10.548451776622894,43.5634746515587,2.6482696123154814,7.137639626000306,0.06011439790032903,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0700.rep=2\models\230427_092022.multi_instance.n=795,700,0.692647337750463,4.613503746575651,9.19242140154652,40.22929932144745,2.392383485939977,6.623441446099484,0.07426252820565231,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_soy_lr,sample_efficiency_plantwise_split_soy_lr\n=0005.rep=0\models\230508_165340.multi_instance.n=65,5,0.784646301155517,10.379661101300107,16.741258059552873,31.936881219037815,3.294075133964828,6.3680636196827,0.00044257057284675835,"Soybean (5-8 DAG, lateral)"
sample_efficiency_plantwise_split_soy_lr,sample_efficiency_plantwise_split_soy_lr\n=0005.rep=1\models\230508_171758.multi_instance.n=65,5,1.3045243827909356,15.041949757045705,24.92386922035798,41.574013306312445,5.212556245109348,8.917595948034853,0.0013159540410275603,"Soybean (5-8 DAG, lateral)"
sample_efficiency_plantwise_split_soy_lr,sample_efficiency_plantwise_split_soy_lr\n=0005.rep=2\models\230508_173404.multi_instance.n=65,5,1.9628320720894332,18.222486651922903,24.663313648509735,39.62064631873,6.043218135845055,9.178505100664415,0.0004140399345069066,"Soybean (5-8 DAG, lateral)"
sample_efficiency_plantwise_split_soy_lr,sample_efficiency_plantwise_split_soy_lr\n=0010.rep=0\models\230508_174523.multi_instance.n=70,10,0.7113002132609749,10.01468869518913,18.127029864316366,29.731170551080535,3.3686961400359277,6.4256073824271525,0.003163211536006371,"Soybean (5-8 DAG, lateral)"
